,Age,Customer-Period,MaximumSpend,Hidden-Score,Monthly-Average-Spend,Level,Mortgage,Security-Asset,Fixed-Deposit-Account,Internet-Banking,Credit-Card,Region,MaximumSpend_Log,Monthly-Average-Spend_Log,Mortgage_Log
2910,46,22,102,3,4.5,3,0,0,0,1,0,5,4.804021044733257,1.6094379124341003,2.995732273553991
3096,43,18,179,3,1.2,1,0,1,1,1,0,4,5.293304824724492,0.5306282510621704,2.995732273553991
3117,42,16,65,3,0.5,3,256,0,0,1,0,2,4.442651256490317,0.0,5.62040086571715
582,44,18,72,1,0.7,3,155,0,0,0,0,5,4.5217885770490405,0.1823215567939546,5.1647859739235145
4151,44,18,123,3,5.9,1,0,0,1,1,1,5,4.962844630259907,1.8562979903656263,2.995732273553991
2208,64,40,92,2,0.0,3,185,1,0,1,0,1,4.718498871295094,-0.6931471805599453,5.3230099791384085
1495,52,28,178,3,5.4,3,147,0,0,1,0,2,5.288267030694535,1.7749523509116738,5.117993812416755
1733,40,16,125,2,2.2,1,0,0,0,1,0,5,4.976733742420574,0.9932517730102834,2.995732273553991
384,51,25,21,4,0.6,3,0,0,0,1,1,3,3.713572066704308,0.09531017980432493,2.995732273553991
4165,63,38,135,2,3.8,3,183,0,0,0,0,1,5.043425116919247,1.4586150226995167,5.313205979041787
2630,63,37,113,4,1.7,3,0,0,0,1,1,4,4.890349128221754,0.7884573603642703,2.995732273553991
3810,48,24,12,4,1.0,1,89,0,0,0,0,4,3.4657359027997265,0.4054651081081644,4.6913478822291435
4543,62,38,33,3,0.1,3,0,0,0,1,0,5,3.970291913552122,-0.5108256237659907,2.995732273553991
4073,51,27,19,1,0.2,1,0,0,0,0,0,2,3.6635616461296463,-0.35667494393873245,2.995732273553991
2515,31,5,34,1,1.9,3,156,0,0,1,0,4,3.9889840465642745,0.8754687373538999,5.170483995038151
3766,59,35,108,4,3.8,2,304,0,0,1,0,0,4.852030263919617,1.4586150226995167,5.780743515792329
3720,63,39,131,3,2.6,3,229,0,0,1,0,2,5.017279836814924,1.1314021114911006,5.517452896464707
3142,34,8,175,4,1.1,3,0,1,1,1,1,5,5.272999558563747,0.47000362924573563,2.995732273553991
2613,52,26,110,2,5.4,3,204,1,1,1,0,4,4.867534450455582,1.7749523509116738,5.4116460518550396
1077,29,3,175,3,3.3,3,329,0,0,1,0,0,5.272999558563747,1.33500106673234,5.855071922202427
3990,57,32,59,2,3.7,1,134,0,0,1,0,5,4.3694478524670215,1.4350845252893227,5.0369526024136295
978,52,26,68,1,0.8,3,0,0,0,1,1,2,4.477336814478207,0.26236426446749106,2.995732273553991
2912,44,20,130,4,3.2,2,0,0,0,0,0,0,5.0106352940962555,1.308332819650179,2.995732273553991
4310,65,41,170,4,6.1,2,0,0,1,1,1,4,5.247024072160486,1.8870696490323797,2.995732273553991
3463,28,3,149,1,0.8,1,0,0,0,1,0,2,5.1298987149230735,0.26236426446749106,2.995732273553991
4846,35,10,135,3,4.8,2,0,0,0,1,0,4,5.043425116919247,1.667706820558076,2.995732273553991
3159,57,33,62,3,2.67,1,240,0,0,0,0,2,4.406719247264253,1.1537315878891892,5.560681631015528
2428,39,12,108,4,3.67,2,301,0,0,0,1,2,4.852030263919617,1.4279160358107101,5.771441123130016
3835,33,9,131,3,2.2,3,0,1,0,0,0,0,5.017279836814924,0.9932517730102834,2.995732273553991
433,52,28,31,4,0.2,1,141,0,0,1,1,1,3.9318256327243257,-0.35667494393873245,5.081404364984463
4971,58,28,73,1,1.4,3,0,1,0,0,0,0,4.532599493153256,0.6418538861723947,2.995732273553991
736,61,35,152,3,3.3,3,0,0,0,1,0,1,5.147494476813453,1.33500106673234,2.995732273553991
1084,60,35,191,4,5.6,3,0,0,0,0,0,3,5.351858133476067,1.8082887711792655,2.995732273553991
2855,35,11,38,1,1.5,2,136,0,0,1,0,1,4.060443010546419,0.6931471805599453,5.049856007249537
4026,27,1,142,3,5.5,1,0,0,0,0,0,2,5.087596335232384,1.791759469228055,2.995732273553991
4425,26,0,164,2,4.0,3,301,0,0,1,0,5,5.214935757608986,1.5040773967762742,5.771441123130016
1524,40,16,155,4,0.1,3,0,0,1,1,1,4,5.1647859739235145,-0.5108256237659907,2.995732273553991
2428,39,12,108,4,3.67,2,301,0,0,0,1,2,4.852030263919617,1.4279160358107101,5.771441123130016
1206,63,37,165,4,5.1,3,0,0,0,0,0,5,5.220355825078324,1.7227665977411035,2.995732273553991
2657,31,6,72,1,2.6,2,0,0,0,1,0,4,4.5217885770490405,1.1314021114911006,2.995732273553991
317,40,16,119,2,4.2,2,0,0,0,1,0,1,4.9344739331306915,1.547562508716013,2.995732273553991
1535,61,37,39,4,0.4,1,0,0,0,1,1,2,4.07753744390572,-0.10536051565782628,2.995732273553991
1032,37,12,42,3,0.7,2,0,0,0,1,1,4,4.127134385045092,0.1823215567939546,2.995732273553991
3356,49,23,115,3,4.6,3,0,0,0,0,0,5,4.90527477843843,1.62924053973028,2.995732273553991
2772,55,31,130,4,6.5,1,0,0,0,0,1,2,5.0106352940962555,1.9459101490553132,2.995732273553991
3563,53,27,139,1,0.9,3,0,0,0,0,0,4,5.0689042022202315,0.3364722366212129,2.995732273553991
1084,60,35,191,4,5.6,3,0,0,0,0,0,3,5.351858133476067,1.8082887711792655,2.995732273553991
4166,66,40,30,2,0.7,3,86,0,0,0,0,5,3.912023005428146,0.1823215567939546,4.663439094112067
4719,32,8,140,4,6.6,3,0,0,1,0,1,4,5.075173815233827,1.9600947840472698,2.995732273553991
1094,50,24,44,4,1.8,1,0,0,0,1,1,4,4.1588830833596715,0.8329091229351039,2.995732273553991
4390,52,26,62,4,2.8,2,0,0,0,1,0,5,4.406719247264253,1.1939224684724346,2.995732273553991
1608,36,10,35,2,0.3,1,98,0,0,1,0,4,4.007333185232471,-0.2231435513142097,4.770684624465665
156,26,0,15,4,0.4,1,0,0,0,0,1,2,3.5553480614894135,-0.10536051565782628,2.995732273553991
552,28,3,52,4,2.2,1,230,0,0,1,0,0,4.276666119016055,0.9932517730102834,5.521460917862246
751,53,28,98,1,1.3,3,355,0,0,1,0,0,4.770684624465665,0.5877866649021191,5.926926025970411
2261,30,3,150,4,5.0,2,0,0,0,1,0,4,5.135798437050262,1.7047480922384253,2.995732273553991
4132,61,36,133,1,2.6,1,0,0,0,1,0,0,5.030437921392435,1.1314021114911006,2.995732273553991
3635,58,33,24,2,0.5,2,0,0,0,1,0,5,3.784189633918261,0.0,2.995732273553991
3821,35,9,188,2,3.7,2,259,0,0,1,0,2,5.337538079701318,1.4350845252893227,5.631211781821365
3348,61,35,18,3,0.3,3,0,0,0,0,0,4,3.6375861597263857,-0.2231435513142097,2.995732273553991
3356,49,23,115,3,4.6,3,0,0,0,0,0,5,4.90527477843843,1.62924053973028,2.995732273553991
3115,31,5,111,2,0.2,1,0,0,0,0,0,4,4.875197323201151,-0.35667494393873245,2.995732273553991
510,51,26,62,1,1.3,2,221,0,0,1,0,5,4.406719247264253,0.5877866649021191,5.484796933490655
1554,42,15,34,3,1.0,2,0,1,0,1,0,1,3.9889840465642745,0.4054651081081644,2.995732273553991
596,48,22,152,1,3.5,3,0,0,0,1,0,4,5.147494476813453,1.3862943611198906,2.995732273553991
3781,65,40,118,1,1.3,1,333,0,1,1,1,4,4.927253685157205,0.5877866649021191,5.8664680569332965
2614,35,11,160,4,5.7,3,0,1,0,0,0,2,5.19295685089021,1.824549292051046,2.995732273553991
400,36,10,179,3,6.6,1,0,0,0,1,0,4,5.293304824724492,1.9600947840472698,2.995732273553991
1630,41,17,99,2,1.8,2,0,0,0,1,1,2,4.77912349311153,0.8329091229351039,2.995732273553991
4494,29,4,182,1,3.7,3,0,0,0,1,0,5,5.308267697401205,1.4350845252893227,2.995732273553991
4093,49,24,138,2,2.2,2,0,0,0,1,0,3,5.062595033026967,0.9932517730102834,2.995732273553991
1673,29,5,81,2,2.5,1,0,0,0,0,1,4,4.61512051684126,1.0986122886681098,2.995732273553991
2294,39,15,129,2,1.9,1,0,0,0,0,0,0,5.003946305945459,0.8754687373538999,2.995732273553991
1326,32,5,63,4,2.0,2,0,1,0,1,0,0,4.418840607796598,0.9162907318741551,2.995732273553991
4425,26,0,164,2,4.0,3,301,0,0,1,0,5,5.214935757608986,1.5040773967762742,5.771441123130016
1126,32,8,104,2,3.7,1,0,0,0,0,1,5,4.820281565605037,1.4350845252893227,2.995732273553991
3464,61,37,172,4,4.25,1,0,0,1,1,1,2,5.2574953720277815,1.55814461804655,2.995732273553991
4167,48,24,144,4,3.5,2,0,0,0,0,0,4,5.099866427824199,1.3862943611198906,2.995732273553991
9,34,9,180,1,8.9,3,0,0,0,0,0,3,5.298317366548036,2.2407096892759584,2.995732273553991
965,62,36,135,2,5.2,2,0,0,0,1,0,4,5.043425116919247,1.7404661748405046,2.995732273553991
3240,62,36,63,1,1.6,1,118,0,0,1,0,3,4.418840607796598,0.7419373447293773,4.927253685157205
2998,61,35,38,2,0.3,1,0,0,0,0,0,3,4.060443010546419,-0.2231435513142097,2.995732273553991
4715,65,39,35,1,0.5,3,150,0,0,1,0,2,4.007333185232471,0.0,5.135798437050262
333,63,38,140,1,2.5,1,0,0,0,0,0,2,5.075173815233827,1.0986122886681098,2.995732273553991
2996,42,18,103,1,3.33,1,0,1,1,1,1,1,4.812184355372417,1.3428648031925547,2.995732273553991
2898,27,1,140,1,5.9,2,175,1,1,1,0,1,5.075173815233827,1.8562979903656263,5.272999558563747
671,65,41,105,1,3.0,2,282,1,1,1,0,2,4.8283137373023015,1.252762968495368,5.71042701737487
2890,48,24,18,4,0.2,1,0,0,0,1,1,4,3.6375861597263857,-0.35667494393873245,2.995732273553991
1882,56,32,125,3,0.6,1,342,0,1,1,1,1,4.976733742420574,0.09531017980432493,5.8916442118257715
1250,47,20,81,1,2.67,2,0,0,0,1,0,4,4.61512051684126,1.1537315878891892,2.995732273553991
647,62,38,64,4,2.2,1,123,1,1,1,1,5,4.430816798843313,0.9932517730102834,4.962844630259907
1908,50,26,22,4,0.5,2,112,0,0,1,0,2,3.7376696182833684,0.0,4.882801922586371
3560,31,5,65,4,2.2,2,126,0,0,1,0,4,4.442651256490317,0.9932517730102834,4.983606621708336
4210,35,8,43,2,1.67,2,0,0,0,0,0,5,4.143134726391533,0.7747271675523681,2.995732273553991
4012,30,6,124,2,0.6,1,0,0,0,1,0,1,4.969813299576001,0.09531017980432493,2.995732273553991
4480,55,30,145,2,6.0,3,0,0,0,1,0,2,5.10594547390058,1.8718021769015913,2.995732273553991
3687,34,10,45,1,1.33,1,0,0,0,0,0,3,4.174387269895637,0.6043159668533296,2.995732273553991
658,52,26,35,3,0.9,3,0,0,0,0,0,1,4.007333185232471,0.3364722366212129,2.995732273553991
91,35,10,29,4,1.1,3,0,0,0,1,0,4,3.8918202981106265,0.47000362924573563,2.995732273553991
1161,36,11,181,3,1.4,1,0,0,0,0,0,4,5.303304908059076,0.6418538861723947,2.995732273553991
889,24,-2,82,2,1.6,3,0,0,0,1,1,1,4.624972813284271,0.7419373447293773,2.995732273553991
4153,50,26,148,2,6.8,1,0,0,0,1,0,4,5.123963979403259,1.9878743481543455,2.995732273553991
4770,35,5,93,4,1.8,3,0,0,0,0,1,0,4.727387818712341,0.8329091229351039,2.995732273553991
3589,38,12,52,2,2.4,2,147,0,0,0,0,2,4.276666119016055,1.0647107369924282,5.117993812416755
4532,48,22,133,2,3.1,2,0,0,0,1,0,0,5.030437921392435,1.2809338454620642,2.995732273553991
1603,36,6,138,1,7.0,3,86,0,0,1,0,2,5.062595033026967,2.0149030205422647,4.663439094112067
4583,52,26,83,1,3.1,1,0,0,0,1,0,2,4.634728988229636,1.2809338454620642,2.995732273553991
1629,53,29,154,4,7.4,3,0,0,0,0,0,3,5.159055299214529,2.066862759472976,2.995732273553991
3875,26,2,119,2,0.6,1,381,0,0,1,1,5,4.9344739331306915,0.09531017980432493,5.993961427306569
3715,29,5,124,2,0.2,1,0,0,0,0,1,2,4.969813299576001,-0.35667494393873245,2.995732273553991
4811,36,12,123,2,3.0,3,0,0,0,0,0,0,4.962844630259907,1.252762968495368,2.995732273553991
1518,43,17,64,4,3.0,3,221,0,0,1,0,5,4.430816798843313,1.252762968495368,5.484796933490655
395,60,35,64,2,2.8,1,0,0,0,0,0,4,4.430816798843313,1.1939224684724346,2.995732273553991
4628,27,1,130,3,2.9,2,0,0,0,0,0,4,5.0106352940962555,1.2237754316221157,2.995732273553991
1937,51,25,181,1,3.3,3,589,1,1,1,0,5,5.303304908059076,1.33500106673234,6.411818267709897
3932,26,2,55,3,0.7,2,0,0,0,1,0,4,4.31748811353631,0.1823215567939546,2.995732273553991
3318,46,20,105,4,3.2,1,0,0,0,0,0,0,4.8283137373023015,1.308332819650179,2.995732273553991
540,25,-1,109,4,2.3,3,314,0,0,1,0,4,4.859812404361672,1.0296194171811581,5.811140992976701
224,52,27,58,4,1.8,3,91,0,0,0,0,4,4.356708826689592,0.8329091229351039,4.709530201312334
4080,27,0,40,1,2.0,2,110,0,0,0,1,0,4.0943445622221,0.9162907318741551,4.867534450455582
4866,41,17,71,2,3.2,1,0,0,0,1,1,4,4.51085950651685,1.308332819650179,2.995732273553991
490,34,10,90,2,2.7,1,0,0,0,1,0,4,4.700480365792417,1.1631508098056809,2.995732273553991
2642,54,29,81,2,0.0,3,0,0,0,1,0,2,4.61512051684126,-0.6931471805599453,2.995732273553991
631,45,18,40,3,1.0,2,0,0,0,1,0,4,4.0943445622221,0.4054651081081644,2.995732273553991
1574,62,37,42,3,1.5,1,0,0,0,1,0,2,4.127134385045092,0.6931471805599453,2.995732273553991
1560,35,10,31,3,1.3,1,0,0,0,0,0,5,3.9318256327243257,0.5877866649021191,2.995732273553991
3989,49,25,90,4,1.4,2,0,1,0,1,0,2,4.700480365792417,0.6418538861723947,2.995732273553991
4523,29,4,50,4,1.7,2,0,0,0,1,0,4,4.248495242049359,0.7884573603642703,2.995732273553991
1979,41,17,11,1,1.0,1,0,0,0,0,0,1,3.4339872044851463,0.4054651081081644,2.995732273553991
3916,50,26,12,1,0.2,1,96,0,0,0,0,2,3.4657359027997265,-0.35667494393873245,4.7535901911063645
354,44,20,173,2,1.4,1,419,0,0,1,0,0,5.262690188904886,0.6418538861723947,6.0844994130751715
514,27,1,74,3,0.3,3,0,0,0,1,0,1,4.543294782270004,-0.2231435513142097,2.995732273553991
878,33,3,74,4,4.0,3,0,0,0,0,0,5,4.543294782270004,1.5040773967762742,2.995732273553991
1268,34,9,62,3,2.3,1,0,0,0,0,0,2,4.406719247264253,1.0296194171811581,2.995732273553991
2874,49,25,114,1,2.5,3,0,0,0,1,0,1,4.897839799950911,1.0986122886681098,2.995732273553991
42,32,7,132,4,1.1,2,412,0,0,1,0,0,5.0238805208462765,0.47000362924573563,6.068425588244111
4628,27,1,130,3,2.9,2,0,0,0,0,0,4,5.0106352940962555,1.2237754316221157,2.995732273553991
2160,43,17,55,3,2.2,2,0,0,0,0,0,3,4.31748811353631,0.9932517730102834,2.995732273553991
744,45,20,154,2,2.8,1,0,1,0,1,0,4,5.159055299214529,1.1939224684724346,2.995732273553991
2721,58,33,173,2,7.2,3,0,0,0,1,0,2,5.262690188904886,2.0412203288596382,2.995732273553991
2506,66,42,39,1,1.9,2,0,0,0,1,1,4,4.07753744390572,0.8754687373538999,2.995732273553991
3728,28,3,118,3,2.4,2,161,0,0,0,0,1,4.927253685157205,1.0647107369924282,5.198497031265826
3187,43,18,41,1,0.5,3,0,0,0,0,0,4,4.110873864173311,0.0,2.995732273553991
2850,58,34,125,1,4.3,1,219,0,0,0,0,4,4.976733742420574,1.5686159179138452,5.476463551931511
1672,48,23,173,3,0.2,1,0,0,1,1,1,4,5.262690188904886,-0.35667494393873245,2.995732273553991
438,58,32,113,2,3.8,2,119,0,1,1,1,3,4.890349128221754,1.4586150226995167,4.9344739331306915
2853,28,3,54,4,0.6,2,0,0,0,1,0,4,4.30406509320417,0.09531017980432493,2.995732273553991
4365,26,2,85,2,2.5,1,0,0,0,0,0,5,4.653960350157523,1.0986122886681098,2.995732273553991
3295,42,16,141,3,4.0,2,0,0,0,0,0,4,5.081404364984463,1.5040773967762742,2.995732273553991
2758,62,36,35,2,0.7,3,0,1,0,0,1,4,4.007333185232471,0.1823215567939546,2.995732273553991
2897,28,2,34,4,1.3,3,0,0,0,0,0,2,3.9889840465642745,0.5877866649021191,2.995732273553991
2707,35,9,131,3,0.3,3,0,0,1,1,1,0,5.017279836814924,-0.2231435513142097,2.995732273553991
3860,31,6,64,2,0.1,1,0,0,0,1,1,2,4.430816798843313,-0.5108256237659907,2.995732273553991
1077,29,3,175,3,3.3,3,329,0,0,1,0,0,5.272999558563747,1.33500106673234,5.855071922202427
3097,58,32,44,3,2.2,3,0,0,0,0,0,2,4.1588830833596715,0.9932517730102834,2.995732273553991
2898,27,1,140,1,5.9,2,175,1,1,1,0,1,5.075173815233827,1.8562979903656263,5.272999558563747
243,65,39,170,3,7.9,3,99,0,1,1,0,0,5.247024072160486,2.128231705849268,4.77912349311153
637,53,28,31,4,0.1,3,0,0,0,1,0,0,3.9318256327243257,-0.5108256237659907,2.995732273553991
378,47,23,38,2,2.1,3,0,0,0,0,0,4,4.060443010546419,0.9555114450274363,2.995732273553991
3405,55,30,50,2,2.1,3,0,0,0,1,0,4,4.248495242049359,0.9555114450274363,2.995732273553991
1546,33,9,105,1,4.0,1,0,0,0,1,0,5,4.8283137373023015,1.5040773967762742,2.995732273553991
4865,50,24,133,4,1.4,2,342,0,0,0,1,0,5.030437921392435,0.6418538861723947,5.8916442118257715
1027,32,7,108,1,4.6,1,0,1,0,0,0,4,4.852030263919617,1.62924053973028,2.995732273553991
1603,36,6,138,1,7.0,3,86,0,0,1,0,2,5.062595033026967,2.0149030205422647,4.663439094112067
1619,45,21,29,1,0.3,3,0,0,0,1,0,0,3.8918202981106265,-0.2231435513142097,2.995732273553991
1579,29,5,122,4,3.0,1,0,0,0,0,1,4,4.955827057601261,1.252762968495368,2.995732273553991
2317,31,5,129,3,5.9,3,319,1,1,0,1,5,5.003946305945459,1.8562979903656263,5.82600010738045
2359,36,12,123,2,5.6,2,0,0,1,1,1,5,4.962844630259907,1.8082887711792655,2.995732273553991
2904,56,32,190,3,2.2,1,0,0,1,1,0,0,5.3471075307174685,0.9932517730102834,2.995732273553991
4190,40,16,89,3,3.9,2,216,1,1,1,0,5,4.6913478822291435,1.4816045409242156,5.4638318050256105
3535,52,27,65,1,1.2,1,0,0,0,1,1,2,4.442651256490317,0.5306282510621704,2.995732273553991
940,61,36,193,1,4.7,3,203,0,0,1,0,4,5.3612921657094255,1.6486586255873816,5.407171771460119
1049,35,10,23,4,0.2,3,0,0,0,1,0,4,3.7612001156935624,-0.35667494393873245,2.995732273553991
537,44,20,131,1,4.9,3,0,0,0,1,0,0,5.017279836814924,1.6863989535702288,2.995732273553991
2774,53,29,118,2,0.3,1,0,0,0,1,0,4,4.927253685157205,-0.2231435513142097,2.995732273553991
27,46,20,158,1,2.4,1,0,0,0,1,1,0,5.181783550292085,1.0647107369924282,2.995732273553991
179,62,37,11,1,0.1,1,0,0,0,1,0,1,3.4339872044851463,-0.5108256237659907,2.995732273553991
776,50,26,135,2,4.6,3,91,0,0,1,0,2,5.043425116919247,1.62924053973028,4.709530201312334
2656,40,15,144,1,4.1,1,0,0,0,0,0,1,5.099866427824199,1.5260563034950492,2.995732273553991
3614,34,10,154,3,5.4,2,0,0,0,1,0,4,5.159055299214529,1.7749523509116738,2.995732273553991
4842,49,23,174,3,4.6,2,590,0,0,0,0,5,5.267858159063328,1.62924053973028,6.413458957167357
1313,52,27,78,4,3.6,3,141,0,0,1,0,2,4.584967478670572,1.410986973710262,5.081404364984463
1418,65,41,154,2,4.6,2,0,1,1,1,1,2,5.159055299214529,1.62924053973028,2.995732273553991
3744,54,29,79,3,1.6,3,0,0,0,0,0,0,4.59511985013459,0.7419373447293773,2.995732273553991
4907,34,9,101,3,0.6,2,0,0,0,0,0,4,4.795790545596741,0.09531017980432493,2.995732273553991
4310,65,41,170,4,6.1,2,0,0,1,1,1,4,5.247024072160486,1.8870696490323797,2.995732273553991
1361,50,26,38,4,0.9,2,0,0,0,1,0,5,4.060443010546419,0.3364722366212129,2.995732273553991
805,55,29,132,3,5.9,2,307,0,0,0,0,5,5.0238805208462765,1.8562979903656263,5.7899601708972535
1537,58,34,41,4,1.3,1,0,0,0,1,0,4,4.110873864173311,0.5877866649021191,2.995732273553991
4766,41,15,54,3,2.1,1,0,0,0,1,0,1,4.30406509320417,0.9555114450274363,2.995732273553991
1369,57,33,43,1,1.8,3,0,0,0,0,0,1,4.143134726391533,0.8329091229351039,2.995732273553991
2111,60,34,40,1,1.6,1,0,0,0,1,0,4,4.0943445622221,0.7419373447293773,2.995732273553991
632,57,32,165,4,2.7,3,0,0,0,1,0,4,5.220355825078324,1.1631508098056809,2.995732273553991
896,50,24,161,3,3.4,1,212,0,0,1,0,5,5.198497031265826,1.3609765531356006,5.44673737166631
1499,52,26,91,1,4.3,2,0,0,1,1,1,2,4.709530201312334,1.5686159179138452,2.995732273553991
2136,50,26,115,1,1.2,3,0,0,0,0,1,5,4.90527477843843,0.5306282510621704,2.995732273553991
